kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K06717.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,298.25748,41.850639,1.142946648,43.5,1293.0,412550.0,3.40234,1054.4,660.96,0.479,1,5058.0,0.608,14.454,0.12403393186789125,3.2352941176470584,0.6557841671088813
K06718.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,298.69,41.880852,7.217010987,89.71,1096.0,78714.0,4.4215,1307.0,341.36,1.287,1,6047.0,1.211,13.272,0.025527073049842742,0.1343283582089552,0.6790034218866016
K07885.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,291.1738,44.449799,9.72869627,42.47,1126.0,252.2,5.628,19.1,379.75,1.274,1,6881.0,1.351,13.542,0.02410394913068861,97.5,0.28813907748003487
K06844.01,,FALSE POSITIVE,0.04187187718344165,FALSE POSITIVE,False,291.76828,42.757221,0.566791802,0.66,2040.0,49.3,2.2,15.6,4113.39,0.679,1,5691.0,0.887,14.702,0.16172899174477945,0.23863636363636362,0.006820175733194726
K06845.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,292.68881,42.748001,2.245738777,99.05,1737.0,483490.0,8.61629,2121.8,2156.25,0.397,1,6508.0,1.312,13.432,0.15986368807013446,2.6417910447761193,0.691983747289352
K06846.01,,FALSE POSITIVE,0.022182413030890257,FALSE POSITIVE,False,292.69376,42.760899,2.24572117,0.74,1479.0,48.2,3.88,13.6,1131.64,0.596,1,6158.0,1.026,14.244,0.07198875302345155,1.457627118644068,0.006610885090310051
K06847.01,,FALSE POSITIVE,0.029967115278679752,FALSE POSITIVE,True,292.95926,42.799252,0.566801906,0.55,1344.0,89.7,1.626,27.0,774.11,0.155,1,4208.0,0.583,12.663,0.11953029671004668,2.5384615384615383,0.008647078152292343
K06848.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,295.37515,42.75378,2.316171991,49.53,1288.0,251480.0,4.03025,2338.3,651.03,0.7,1,5932.0,0.795,13.969,0.07250199207392682,0.1343283582089552,0.5710530411773862
K06849.01,,CANDIDATE,0.3877926421404682,NEEDS REVIEW (ambiguous),True,296.39548,42.78014,12.54474243,1.88,840.0,263.1,1.24,10.8,117.9,0.185,1,5767.0,1.159,15.082,0.004118591270802733,0.7424242424242424,0.014867901071516976
K06850.01,,FALSE POSITIVE,0.006706222554699781,FALSE POSITIVE,False,291.45313,42.851227,0.56680208,,,,1.22,,392.81,,1,,,13.072,0.08968445093450139,1.3333333333333335,
K06851.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,True,291.52869,42.86697,0.566810701,1.49,1921.0,200.0,6.19,45.9,3220.92,0.982,1,5593.0,0.752,15.644,0.4550313997453388,3.1666666666666665,0.018161163874641652
K06852.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,True,291.53311,42.83847,0.566813319,23.19,2313.0,129.1,3.752,17.0,6742.52,1.196,1,6108.0,1.03,15.972,0.2758109735479475,3.96875,0.20636629795413491
K06976.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,281.08948,44.057941,28.787257509,91.26,971.0,49618.0,13.953,1292.0,210.02,0.559,1,5154.0,3.981,12.85,0.020195567424866362,0.04477611940298507,0.21011813446593594
K06977.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,282.75241,44.048721,0.835315046,30.54,1490.0,16876.0,2.45449,939.5,1160.98,1.224,1,5009.0,0.69,15.314,0.1224333467431241,1.492537313432836,0.4056908301119834
K06978.01,,CANDIDATE,0.2354388674966085,NEEDS REVIEW (ambiguous),True,282.84103,44.049728,3.07551068,0.84,1389.0,46.1,1.683,10.1,879.95,0.005,1,5763.0,1.242,13.359,0.02280109136216689,0.8392857142857142,0.006199161342029871
K06979.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,287.90555,44.01086,26.0164225,61.04,755.0,41109.0,4.1768,285.4,76.63,1.147,1,6287.0,1.28,15.032,0.006689364509410675,26.756097560975608,0.43709899175068745
K06980.01,,CANDIDATE,0.02511075478559857,FALSE POSITIVE,True,287.94165,44.008018,6.29340543,1.08,1072.0,96.4,3.024,8.7,312.61,0.431,1,6214.0,1.076,15.186,0.02002095707983015,1.356164383561644,0.009199976829687985
